
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
C0201                            C49                               71   1      1   1   1 1           1 0 $6N81               (239-1-13)
C0201                            C49                               71   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C50                               72   1      1   1   1 1           1 0 $6N81               (239-1-13)
C0201                            C50                               72   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C51                               73   1      1   1   1 1           1 0 $6N81               (239-1-13)
C0201                            C51                               73   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C52                               76   1      1   1   1 1           1 0 1V2                 (95-2-13)
C0201                            C52                               76   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C53                               75   1      1   1   1 1           1 0 1V2                 (95-2-13)
C0201                            C53                               75   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C54                               74   1      1   1   1 1           1 0 1V2                 (95-2-13)
C0201                            C54                               74   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C55                               82   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C55                               82   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C56                               81   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C56                               81   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C57                               79   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C57                               79   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C58                               80   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C58                               80   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C59                               87   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C59                               87   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C60                               88   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C60                               88   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C61                              117   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C61                              117   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C62                              118   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C62                              118   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C63                              101   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C63                              101   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C64                              102   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C64                              102   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C65                               83   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C65                               83   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C66                               84   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C66                               84   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C67                               94   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C67                               94   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C68                              114   1      1   1   1 1           1 0 1V0                 (188-25-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
C0201                            C68                              114   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C69                              115   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C69                              115   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C70                               93   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0201                            C70                               93   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C71                               90   1      1   1   1 1           1 0 1V8                 (95-20-13)
C0201                            C71                               90   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C72                              105   1      1   1   1 1           1 0 1V8                 (95-20-13)
C0201                            C72                              105   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C73                              106   1      1   1   1 1           1 0 1V8                 (95-20-13)
C0201                            C73                              106   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C74                              107   1      1   1   1 1           1 0 1V8                 (95-20-13)
C0201                            C74                              107   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C75                              108   1      1   1   1 1           1 0 1V8                 (95-20-13)
C0201                            C75                              108   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C85                               89   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0201                            C85                               89   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C86                               70   1      1   1   1 1           1 0 AVCC                (95-14-13)
C0201                            C86                               70   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C91                              111   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C91                              111   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C92                               95   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C92                               95   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C93                               96   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C93                               96   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C94                               86   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C94                               86   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C95                               91   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C95                               91   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C96                               92   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C96                               92   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C97                              110   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C97                              110   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C98                               85   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C98                               85   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C99                               68   1      1   1   1 1           1 0 VTTREF              (95-15-13)
C0201                            C99                               68   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C100                              69   1      1   1   1 1           1 0 VTTREF              (95-15-13)
C0201                            C100                              69   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C3                                31   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C3                                31   1      2   2   1 2           2 0 3V3_VCCO            (376-4-13)
C0402                            C8                                49   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0402                            C8                                49   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C9                                59   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0402                            C9                                59   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C10                               55   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0402                            C10                               55   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C11                               58   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0402                            C11                               58   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C12                               48   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0402                            C12                               48   1      2   2   1 2           2 0 GND                 (2-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
C0402                            C13                               54   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0402                            C13                               54   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C14                               46   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0402                            C14                               46   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C15                               47   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0402                            C15                               47   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C29                               26   1      1   1   1 1           1 0 $6N81               (239-1-13)
C0402                            C29                               26   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C30                               34   1      1   1   1 1           1 0 1V2                 (95-2-13)
C0402                            C30                               34   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C31                               29   1      1   1   1 1           1 0 CLK125M_1_P         (246-29-13)
C0402                            C31                               29   1      2   2   1 2           2 0 MGT_CLK0_P          (95-4-13)
C0402                            C32                               30   1      1   1   1 1           1 0 CLK125M_1_N         (95-7-13)
C0402                            C32                               30   1      2   2   1 2           2 0 MGT_CLK0_N          (95-5-13)
C0402                            C33                               45   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0402                            C33                               45   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C34                               57   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C34                               57   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C35                               56   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C35                               56   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C36                               52   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C36                               52   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C37                               53   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C37                               53   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C38                               62   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C38                               62   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C39                               63   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C39                               63   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C40                               43   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C40                               43   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C41                               44   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C41                               44   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C42                               66   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C42                               66   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C43                               67   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C43                               67   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C44                               50   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C44                               50   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C45                               51   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C45                               51   1      2   2   1 2           2 0 1V0                 (188-25-13)
C0402                            C46                               65   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C46                               65   1      2   2   1 2           2 0 1V8                 (95-20-13)
C0402                            C47                               64   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C47                               64   1      2   2   1 2           2 0 1V8                 (95-20-13)
C0402                            C48                               42   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C48                               42   1      2   2   1 2           2 0 1V8                 (95-20-13)
C0402                            C84                               41   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0402                            C84                               41   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C89                               40   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0402                            C89                               40   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C90                               39   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
C0402                            C90                               39   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C102                              32   1      1   1   1 1           1 0 $8N54               (162-1-13)
C0402                            C102                              32   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C103                              33   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C103                              33   1      2   2   1 2           2 0 1V2                 (95-2-13)
C0402                            C106                              35   1      1   1   1 1           1 0 $8N417              (188-15-13)
C0402                            C106                              35   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C107                              36   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C107                              36   1      2   2   1 2           2 0 1V8                 (95-20-13)
C0402                            C109                              38   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
C0402                            C109                              38   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C110                              37   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
C0402                            C110                              37   1      2   2   1 2           2 0 GND                 (2-3-13)
C0402                            C114                              27   1      1   1   1 1           1 0 74M25_N             (357-1-13)
C0402                            C114                              27   1      2   2   1 2           2 0 CLK74M25_0_N        (1239-3-13)
C0402                            C115                              28   1      1   1   1 1           1 0 74M25_P             (357-2-13)
C0402                            C115                              28   1      2   2   1 2           2 0 CLK74M25_0_P        (1239-2-13)
C0402                            C116                              61   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C116                              61   1      2   2   1 2           2 0 3V3_VCCO            (376-4-13)
C0402                            C117                              60   1      1   1   1 1           1 0 GND                 (2-3-13)
C0402                            C117                              60   1      2   2   1 2           2 0 2V5_MB              (2-356-13)
C0805                            C4                                21   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0805                            C4                                21   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C5                                20   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0805                            C5                                20   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C6                                19   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0805                            C6                                19   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C7                                18   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0805                            C7                                18   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C28                               23   1      1   1   1 1           1 0 1V8                 (95-20-13)
C0805                            C28                               23   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C87                               22   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0805                            C87                               22   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C88                               25   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0805                            C88                               25   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C118                              24   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0805                            C118                              24   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C119                              17   1      1   1   1 1           1 0 1V0                 (188-25-13)
C0805                            C119                              17   1      2   1   1 2           2 0 GND                 (2-3-13)
C0805                            C120                              16   1      1   1   1 1           1 0 GND                 (2-3-13)
C0805                            C120                              16   1      2   1   1 2           2 0 3V3_MB_FILT         (874-3-13)
C1206                            C76                              147   1      1   1   1 2           2 0 1V0                 (188-25-13)
C1206                            C76                              147   1      2   1   1 1           1 0 GND                 (2-3-13)
C1206                            C77                              146   1      1   1   1 2           2 0 1V0                 (188-25-13)
C1206                            C77                              146   1      2   1   1 1           1 0 GND                 (2-3-13)
C1206                            C78                              154   1      1   1   1 2           2 0 1V0                 (188-25-13)
C1206                            C78                              154   1      2   1   1 1           1 0 GND                 (2-3-13)
C1206                            C79                              153   1      1   1   1 2           2 0 1V0                 (188-25-13)
C1206                            C79                              153   1      2   1   1 1           1 0 GND                 (2-3-13)
C1206                            C80                              152   1      1   1   1 2           2 0 1V0                 (188-25-13)
C1206                            C80                              152   1      2   1   1 1           1 0 GND                 (2-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
C1206                            C81                              148   1      1   1   1 2           2 0 1V0                 (188-25-13)
C1206                            C81                              148   1      2   1   1 1           1 0 GND                 (2-3-13)
C1206                            C82                              150   1      1   1   1 2           2 0 1V0                 (188-25-13)
C1206                            C82                              150   1      2   1   1 1           1 0 GND                 (2-3-13)
C1206                            C83                              149   1      1   1   1 2           2 0 1V0                 (188-25-13)
C1206                            C83                              149   1      2   1   1 1           1 0 GND                 (2-3-13)
C1206                            C101                             151   1      1   1   1 2           2 0 2V5_VCCO            (376-17-13)
C1206                            C101                             151   1      2   1   1 1           1 0 GND                 (2-3-13)
DS04-254-2-03BK-SMT              SW1                              145   1      1   1   1 1           1 0 M0                  (695-2-13)
DS04-254-2-03BK-SMT              SW1                              145   1      2   2   1 2           2 0 GND                 (2-3-13)
DS04-254-2-03BK-SMT              SW1                              145   1      3   3   1 3           3 0 M1                  (695-3-13)
DS04-254-2-03BK-SMT              SW1                              145   1      4   4   1 4           4 0 GND                 (2-3-13)
DS04-254-2-03BK-SMT              SW1                              145   1      5   5   1 5           5 0 M2                  (695-4-13)
DS04-254-2-03BK-SMT              SW1                              145   1      6   6   1 6           6 0 GND                 (2-3-13)
ECX2-LMV-5CN-125.000-TR          X2                               167   1      1   1   1 1           1 0                     (0-0-0)
ECX2-LMV-5CN-125.000-TR          X2                               167   1      2   2   1 2           2 0                     (0-0-0)
ECX2-LMV-5CN-125.000-TR          X2                               167   1      3   3   1 5           5 0 CLK125M_1_P         (246-29-13)
ECX2-LMV-5CN-125.000-TR          X2                               167   1      4   4   1 4           4 0 CLK125M_1_N         (95-7-13)
ECX2-LMV-5CN-125.000-TR          X2                               167   2      1   1   2 6           6 0 2V5_MB              (2-356-13)
ECX2-LMV-5CN-125.000-TR          X2                               167   3      1   1   3 3           3 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      1   1   1 1           3 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      2   2   1 2           4 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      3   3   1 3           5 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      4   4   1 4           6 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      5   5   1 5           7 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      6   6   1 6           8 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      7   7   1 7           9 0 MGT_TX0_N           (2-335-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      8   8   1 8          10 0 MGT_RX0_N           (2-343-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1      9   9   1 9          11 0 MGT_TX0_P           (2-336-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     10  10   1 10         12 0 MGT_RX0_P           (2-344-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     11  11   1 11         13 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     12  12   1 12         14 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     13  13   1 13         15 0 MGT_TX1_N           (2-337-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     14  14   1 14         16 0 MGT_RX1_N           (2-345-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     15  15   1 15         17 0 MGT_TX1_P           (2-338-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     16  16   1 16         18 0 MGT_RX1_P           (2-346-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     17  17   1 17         19 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     18  18   1 18         20 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     19  19   1 19         21 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     20  20   1 20         22 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     21  21   1 21         23 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     22  22   1 22         24 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     23  23   1 23         25 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     24  24   1 24         26 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     25  25   1 25         27 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     26  26   1 26         28 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     27  27   1 27         29 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     28  28   1 28         30 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     29  29   1 29         31 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     30  30   1 30         32 0 GND                 (2-3-13)
